"순번","단계","차수","에픽","영역","작업코드","작업명","담당","우선순위","산출물","스토리 포인트","요약","선행작업","완료여부","상태"
"91","1차 MVP 상세","1차","Epic D. AI 도구 백엔드 구축","BE/ComfyUI","AI-405-02","/history 응답 파서 구현","AI1","P0","History parser","2","응답에서 상태, output 파일 정보, 오류 정보를 읽는 파서를 만든다.","AI-405-01;AI-302-02","",""
"92","1차 MVP","2차","Epic G. AI 도구 백엔드 구축","BE/Error","AI-406","timeout 및 failed 상태 처리 구현","AI1","P0","실패 처리 로직","2","지정 시간 초과, ComfyUI 실패, output 없음 같은 케이스를 상태값으로 처리한다.","AI-405;AI-304","",""
"93","1차 MVP 상세","2차","Epic D. AI 도구 백엔드 구축","BE/ComfyUI","AI-406-01","완료·실패 판단 로직 구현","AI1","P0","상태 판단 로직","1","파싱 결과를 기준으로 success, failed, timeout을 판정하는 로직을 구현한다.","AI-405-02","",""
"94","1차 MVP 상세","2차","Epic D. AI 도구 백엔드 구축","BE/Error","AI-406-02","생성 상태 enum과 전이 규칙 정리","AI1","P0","상태 enum","1","pending, success, failed, uploaded 같은 상태값과 전이 규칙을 정리한다.","AI-406;AI-406-01","",""
"95","1차 MVP 상세","2차","Epic D. AI 도구 백엔드 구축","BE/Error","AI-406-03","실패 메시지와 사용자 노출 문구 분리","AI1","P1","에러 처리 정책","1","내부 로그용 원문과 사용자에게 보여줄 메시지를 분리한다.","AI-406-02;AI-304-03","",""
"96","1차 MVP 상세","2차","Epic D. AI 도구 백엔드 구축","BE/Error","AI-406-04","실패 시 audit log 적재 연결","AI1","P1","실패 로그 연결","1","failed와 timeout이 발생했을 때 audit_logs 기록 로직과 연결한다.","AI-406-03","",""
"97","1차 MVP 상세","2차","Epic D. AI 도구 백엔드 구축","BE/ComfyUI","AI-406-05","폴링 작업의 동기/비동기 처리 방식 선택","AI1","P1","폴링 실행 방식 결정","1","요청 스레드에서 바로 폴링할지 백그라운드 작업으로 넘길지 초기 MVP 기준을 정한다.","AI-406-01","",""
"98","1차 MVP","1차","Epic H. 저장 / 메타데이터","DB/Schema","AI-501","Postgres 최소 스키마 생성","AI1","P0","초기 DB 스키마","2","users, workflow_snapshots, generations, generation_outputs, audit_logs 테이블을 생성한다.","AI-104;AI-401","",""
"99","1차 MVP 상세","1차","Epic E. 저장 / 메타데이터","DB/Schema","AI-501-01","Postgres 초기화 방식 선택","AI1","P0","초기화 방식 결정","1","JPA 자동 생성, schema.sql, migration 도구, 수동 SQL 중 어떤 방식으로 초기 스키마를 만들지 정한다.","AI-501","",""
"100","1차 MVP 상세","1차","Epic E. 저장 / 메타데이터","DB/Schema","AI-501-02","Postgres volume 위치와 백업 규칙 정리","AI1","P1","DB 경로 메모","1","Postgres volume을 어디에 둘지와 최소 백업 방법을 정한다.","AI-501-01","",""
"101","1차 MVP 상세","1차","Epic E. 저장 / 메타데이터","DB/Schema","AI-501-03","Postgres 연결과 운영 주의사항 문서화","AI1","P1","Postgres 운영 메모","1","동시 접근, 백업, migration 시 주의점을 짧게 문서화한다.","AI-501-02","",""
"102","1차 MVP","1차","Epic H. 저장 / 메타데이터","DB/Schema","AI-502","users 및 workflow_snapshots 테이블 상세 필드 구현","AI1","P0","기본 테이블 정의","2","작성자 식별과 workflow 재현용 메타데이터를 담는 기본 테이블 구조를 구현한다.","AI-501","",""
"103","1차 MVP 상세","1차","Epic E. 저장 / 메타데이터","DB/Schema","AI-502-01","users 테이블 컬럼 확정","AI1","P0","users 스키마","1","사용자 ID, username, display_name, last_login_at 등의 필드를 확정한다.","AI-502;AI-501-01","",""
"104","1차 MVP 상세","1차","Epic E. 저장 / 메타데이터","DB/Schema","AI-502-02","workflow_snapshots 테이블 컬럼 확정","AI1","P0","workflow_snapshots 스키마","1","workflow_name, workflow_json, model_name, workflow_hash 같은 필드를 확정한다.","AI-502-01","",""
"105","1차 MVP","1차","Epic H. 저장 / 메타데이터","DB/Schema","AI-503","generations 및 generation_outputs 테이블 상세 필드 구현","AI1","P0","생성 결과 테이블 정의","2","prompt_id, status, prompt_summary, image_url, created_at 등을 담는 결과 테이블 구조를 구현한다.","AI-501","",""
"106","1차 MVP 상세","1차","Epic E. 저장 / 메타데이터","DB/Schema","AI-503-01","generations 테이블 컬럼 확정","AI1","P0","generations 스키마","1","prompt_id, created_by, status, prompt_summary, error_message 필드를 확정한다.","AI-503;AI-501-01","",""
"107","1차 MVP 상세","1차","Epic E. 저장 / 메타데이터","DB/Schema","AI-503-02","generation_outputs 테이블 컬럼 확정","AI1","P0","generation_outputs 스키마","1","generation_id, image_url, file_name, mime_type 같은 필드를 확정한다.","AI-503-01","",""
"108","1차 MVP 상세","1차","Epic E. 저장 / 메타데이터","DB/Schema","AI-503-03","generations 핵심 인덱스 검토","AI1","P1","인덱스 메모","1","created_at, status, created_by 같은 조회가 많은 컬럼에 인덱스가 필요한지 검토한다.","AI-503-02","",""
"109","1차 MVP","2차","Epic H. 저장 / 메타데이터","DB/Schema","AI-504","audit_logs 테이블 구현","AI1","P1","로그 테이블 정의","1","login, generate, upload, download 실패를 기록할 최소 로그 테이블을 만든다.","AI-501","",""
"110","1차 MVP 상세","2차","Epic E. 저장 / 메타데이터","DB/Schema","AI-504-01","audit_logs action_type과 status 값 표준화","AI1","P1","audit_logs 기준표","1","login, generate, upload, download와 success, failed 값을 표준화한다.","AI-504;AI-501-01","",""
"111","1차 MVP 상세","2차","Epic E. 저장 / 메타데이터","DB/Schema","AI-504-02","audit_logs 최소 기록 helper 설계","AI1","P1","로그 helper 설계","1","각 서비스에서 쉽게 audit log를 남길 수 있는 helper 구조를 정한다.","AI-504-01","",""
"112","1차 MVP","1차","Epic H. 저장 / 메타데이터","DB/Write","AI-505","generation 메타데이터 저장 구현","AI1","P0","메타데이터 저장 로직","2","생성 시작 시점에 사용자, prompt_id, workflow 정보, 상태를 DB에 저장한다.","AI-404;AI-502;AI-503","",""
"113","1차 MVP 상세","1차","Epic E. 저장 / 메타데이터","DB/Write","AI-505-01","generation 시작 시점 insert 구현","AI1","P0","생성 시작 저장 로직","1","/prompt 호출 직후 generation 레코드를 생성하는 로직을 구현한다.","AI-505;AI-404-02;AI-503-01","",""
"114","1차 MVP 상세","1차","Epic E. 저장 / 메타데이터","DB/Write","AI-505-02","workflow snapshot 저장 또는 upsert 구현","AI1","P0","workflow 저장 로직","1","같은 workflow를 반복 사용할 수 있으므로 저장 또는 upsert 기준을 구현한다.","AI-505-01;AI-502-02","",""
"115","1차 MVP 상세","1차","Epic E. 저장 / 메타데이터","DB/Write","AI-505-03","prompt_summary 추출 규칙 구현","AI1","P0","summary 생성 로직","1","목록에서 빠르게 볼 수 있도록 full prompt에서 짧은 summary를 만드는 규칙을 구현한다.","AI-505-02","",""
"116","1차 MVP","1차","Epic H. 저장 / 메타데이터","Storage/S3","AI-506","S3 버킷 및 키 경로 규칙 확정","AI1","P0","S3 저장 규칙 문서","1","이미지 파일명을 어떤 키 구조로 저장할지와 환경별 버킷 구성을 정한다.","AI-104","",""
"117","1차 MVP 상세","1차","Epic E. 저장 / 메타데이터","Storage/S3","AI-506-01","S3 버킷 이름과 환경 분리 방식 확정","AI1","P0","버킷 구조 메모","1","dev와 prod를 어떻게 나눌지와 버킷 이름 규칙을 정한다.","AI-506","",""
"118","1차 MVP 상세","1차","Epic E. 저장 / 메타데이터","Storage/S3","AI-506-02","S3 key prefix 규칙 작성","AI1","P0","키 규칙 문서","1","날짜, 사용자, generation_id를 어떤 순서로 key에 넣을지 정한다.","AI-506-01","",""
"119","1차 MVP 상세","1차","Epic E. 저장 / 메타데이터","Storage/S3","AI-506-03","S3 자격증명 보관 방식 정리","AI1","P1","시크릿 관리 메모","1","로컬 파일에 둘지, 환경변수에 둘지, 배포 환경에서 어떻게 주입할지 정한다.","AI-506-01","",""
"120","1차 MVP 상세","1차","Epic E. 저장 / 메타데이터","Storage/S3","AI-506-04","S3 객체 공개 여부와 signed URL 정책 선택","AI1","P0","다운로드 정책 메모","1","결과 이미지를 public으로 둘지, signed URL 또는 백엔드 프록시로만 내려줄지 정한다.","AI-506-03","",""
"121","1차 MVP","1차","Epic H. 저장 / 메타데이터","Storage/S3","AI-507","output 파일 S3 업로드 구현","AI1","P0","S3 업로드 로직","3","ComfyUI output 파일을 읽어 S3에 업로드하는 로직을 구현한다.","AI-405;AI-506","",""
"122","1차 MVP 상세","1차","Epic E. 저장 / 메타데이터","Storage/S3","AI-507-01","ComfyUI output 파일 탐색 로직 구현","AI1","P0","파일 탐색 로직","1","history 응답과 output 경로를 기준으로 실제 파일을 찾는 로직을 만든다.","AI-507;AI-303-01;AI-201-03","",""
"123","1차 MVP 상세","1차","Epic E. 저장 / 메타데이터","Storage/S3","AI-507-02","S3 업로드 클라이언트 구현","AI1","P0","업로드 서비스","2","찾은 output 파일을 S3에 올리는 업로드 서비스를 구현한다.","AI-507-01;AI-506-03","",""
"124","1차 MVP 상세","1차","Epic E. 저장 / 메타데이터","Storage/S3","AI-507-03","업로드 성공·실패 예외 처리 구현","AI1","P0","업로드 예외 처리","1","파일 없음, 인증 실패, 네트워크 오류에 대한 예외 처리를 구현한다.","AI-507-02","",""
"125","1차 MVP 상세","1차","Epic E. 저장 / 메타데이터","Storage/S3","AI-507-04","업로드 후 로컬 output 파일 보존·정리 정책 정리","AI1","P1","파일 보존 정책","1","업로드 후 output 파일을 계속 둘지, 일정 기간 후 지울지 운영 기준을 정한다.","AI-507-03","",""
"126","1차 MVP 상세","1차","Epic E. 저장 / 메타데이터","Storage/S3","AI-507-05","업로드 전 파일 존재·크기·확장자 검증","AI1","P0","업로드 검증 로직","1","잘못된 파일을 S3에 올리지 않도록 파일 존재 여부와 기본 검증을 먼저 수행한다.","AI-507-01","",""
"127","1차 MVP","1차","Epic H. 저장 / 메타데이터","DB/Write","AI-508","업로드 성공 후 image_url 및 상태 갱신 구현","AI1","P0","상태 갱신 로직","2","S3 업로드 완료 후 generation_outputs.image_url과 generations.status를 갱신한다.","AI-505;AI-507","",""
"128","1차 MVP 상세","1차","Epic E. 저장 / 메타데이터","DB/Write","AI-508-01","image_url 및 uploaded 상태 갱신 구현","AI1","P0","업로드 상태 갱신","1","S3 업로드가 끝난 뒤 DB에 image_url과 uploaded 상태를 반영한다.","AI-508;AI-507-03","",""
"129","1차 MVP 상세","1차","Epic E. 저장 / 메타데이터","DB/Write","AI-508-02","uploaded 이후 success 상태 전환 규칙 정리","AI1","P1","상태 전이 메모","1","uploaded와 success를 같은 상태로 볼지 분리할지 기준을 정리한다.","AI-508-01;AI-406-02","",""
"130","1차 MVP 상세","1차","Epic E. 저장 / 메타데이터","DB/Write","AI-508-03","업로드 재시도와 수동 복구 기준 정리","AI1","P1","재시도 정책 메모","1","S3 업로드 실패 시 자동 재시도 여부와 수동 복구 절차를 정한다.","AI-508-02","",""
"131","1차 MVP","1차","Epic I. 결과 조회 / 히스토리","BE/Query","AI-601","최근 생성물 목록 API 구현","AI1","P0","목록 조회 API","2","최신순 목록, 생성자, 생성일시, 상태, 대표 이미지 경로를 반환하는 API를 구현한다.","AI-508","",""
"132","1차 MVP 상세","1차","Epic F. 결과 조회 / 히스토리","BE/Query","AI-601-01","목록 조회 쿼리와 응답 DTO 구현","AI1","P0","목록 DTO","2","최신순 목록, 상태, 생성자, 대표 이미지 경로를 반환하는 쿼리와 DTO를 구현한다.","AI-601;AI-508-01","",""
"133","1차 MVP 상세","1차","Epic F. 결과 조회 / 히스토리","BE/Query","AI-601-02","기본 정렬과 최대 조회 개수 기준 정리","AI1","P1","조회 기준 메모","1","목록 기본 정렬과 한 번에 보여줄 최대 개수를 정한다.","AI-601-01","",""
"134","1차 MVP 상세","1차","Epic F. 결과 조회 / 히스토리","BE/Query","AI-601-03","상태 배지 매핑표 작성","AI1","P1","상태 배지 표","1","pending, success, failed, uploaded를 화면에서 어떤 배지와 문구로 보일지 정리한다.","AI-601-02","",""
"135","1차 MVP","1차","Epic I. 결과 조회 / 히스토리","BE/Query","AI-602","결과 상세 API 구현","AI1","P0","상세 조회 API","2","이미지, prompt 요약, full prompt, workflow 이름, 모델명, 상태를 보여줄 상세 API를 만든다.","AI-508","",""
"136","1차 MVP 상세","1차","Epic F. 결과 조회 / 히스토리","BE/Query","AI-602-01","상세 조회 조인 로직 구현","AI1","P0","상세 조회 로직","2","generations, outputs, workflow_snapshots를 묶어 상세 데이터를 가져오는 로직을 구현한다.","AI-602;AI-508-01","",""
"137","1차 MVP 상세","1차","Epic F. 결과 조회 / 히스토리","BE/Query","AI-602-02","상세 화면 노출 필드 확정","AI1","P0","상세 필드 목록","1","이미지, prompt summary, full prompt, model name, generator host 등 노출 필드를 확정한다.","AI-602-01","",""
"138","1차 MVP 상세","1차","Epic F. 결과 조회 / 히스토리","BE/Query","AI-602-03","상세 조회 not found 및 권한 오류 처리","AI1","P1","예외 처리 규칙","1","존재하지 않는 generation이나 권한이 없는 접근에 대한 응답 형식을 정리한다.","AI-602-02;AI-701-02","",""
"139","1차 MVP","2차","Epic I. 결과 조회 / 히스토리","BE/Query","AI-603","생성자 기준 필터 API 구현","AI1","P1","필터 API","1","목록 조회 시 생성자 기준으로 필터링할 수 있는 쿼리 조건을 구현한다.","AI-601","",""
"140","1차 MVP 상세","2차","Epic F. 결과 조회 / 히스토리","BE/Query","AI-603-01","생성자 필터 파라미터 구현","AI1","P1","필터 파라미터","1","created_by 또는 username 기준으로 필터할 수 있는 API 파라미터를 추가한다.","AI-603;AI-601-01","",""
"141","1차 MVP","1차","Epic I. 결과 조회 / 히스토리","BE/Download","AI-604","이미지 다운로드 API 구현","AI1","P0","이미지 다운로드 API","1","상세 화면에서 원본 이미지를 내려받을 수 있게 한다.","AI-602","",""
"142","1차 MVP 상세","1차","Epic F. 결과 조회 / 히스토리","BE/Download","AI-604-01","이미지 다운로드 전략 선택","AI1","P0","다운로드 방식 결정","1","S3 signed URL 방식과 백엔드 프록시 다운로드 방식 중 하나를 선택한다.","AI-604;AI-508-01","",""
"143","1차 MVP 상세","1차","Epic F. 결과 조회 / 히스토리","BE/Download","AI-604-02","이미지 다운로드 응답 헤더 처리 구현","AI1","P0","다운로드 API","1","파일명과 content-type을 포함한 이미지 다운로드 응답을 구현한다.","AI-604-01","",""
"144","1차 MVP 상세","1차","Epic F. 결과 조회 / 히스토리","BE/Download","AI-604-03","다운로드 요청 권한 및 만료 정책 정리","AI1","P1","다운로드 권한 메모","1","signed URL이나 프록시 다운로드를 쓸 때 누가 얼마나 오래 접근 가능한지 기준을 정한다.","AI-604-02;AI-701-03","",""
"145","1차 MVP","2차","Epic I. 결과 조회 / 히스토리","BE/Download","AI-605","workflow JSON 다운로드 API 구현","AI1","P1","workflow 다운로드 API","1","재현에 필요한 workflow JSON을 다운로드할 수 있게 한다.","AI-602;AI-502","",""
"146","1차 MVP 상세","2차","Epic F. 결과 조회 / 히스토리","BE/Download","AI-605-01","workflow JSON 다운로드 endpoint 구현","AI1","P1","workflow 다운로드 API","1","workflow_snapshot에 저장한 JSON을 raw 파일로 내려주는 endpoint를 구현한다.","AI-605;AI-502-02","",""
"147","1차 MVP","1차","Epic I. 결과 조회 / 히스토리","UI/Web","AI-606","결과 목록 최소 화면 구현","AI1","P0","목록 페이지","3","최근 생성물 목록, 상태 배지, 생성자 필터를 볼 수 있는 최소 페이지를 만든다.","AI-601;AI-603","",""
"148","1차 MVP 상세","1차","Epic F. 결과 조회 / 히스토리","UI/Web","AI-606-01","결과 목록 화면 컬럼과 배치 고정","AI1","P0","목록 화면 설계 메모","1","썸네일, 생성자, 생성일시, 상태 배지를 어느 순서로 둘지 고정한다.","AI-606;AI-601-02","",""
"149","1차 MVP 상세","1차","Epic F. 결과 조회 / 히스토리","UI/Web","AI-606-02","목록 화면 API 연결 및 빈 상태 처리","AI1","P0","목록 페이지","2","조회 결과가 없을 때의 빈 상태와 실패 상태를 포함해 목록 페이지를 구현한다.","AI-606-01;AI-601-01","",""
"150","1차 MVP 상세","1차","Epic F. 결과 조회 / 히스토리","UI/Web","AI-606-03","목록 페이지 로딩·에러·빈 상태 UI 구현","AI1","P1","목록 상태 UI","1","정상 목록 외에 로딩, 조회 실패, 결과 없음 상태를 명확히 표현한다.","AI-606-02","",""
"151","1차 MVP","1차","Epic I. 결과 조회 / 히스토리","UI/Web","AI-607","결과 상세 최소 화면 구현","AI1","P0","상세 페이지","3","이미지, 메타데이터, 다운로드 버튼, workflow 정보가 보이는 상세 페이지를 만든다.","AI-602;AI-604;AI-605","",""
"152","1차 MVP 상세","1차","Epic F. 결과 조회 / 히스토리","UI/Web","AI-607-01","결과 상세 화면 레이아웃 구현","AI1","P0","상세 페이지","2","이미지, 메타데이터, prompt summary, 다운로드 버튼이 보이는 상세 레이아웃을 구현한다.","AI-607;AI-602-02","",""
"153","1차 MVP 상세","1차","Epic F. 결과 조회 / 히스토리","UI/Web","AI-607-02","상세 화면 다운로드 버튼 연결","AI1","P0","다운로드 버튼 동작","1","이미지 다운로드와 workflow JSON 다운로드 버튼을 상세 화면에 연결한다.","AI-607-01;AI-604-02;AI-605-01","",""
"154","1차 MVP 상세","1차","Epic F. 결과 조회 / 히스토리","UI/Web","AI-607-03","full prompt 접이식 UI와 메타데이터 그룹 정리","AI1","P1","상세 UI 보강","1","full prompt는 접이식으로 두고 모델, 생성 시각, generator host는 그룹으로 정리한다.","AI-607-02","",""
"155","1차 MVP","3차","Epic I. 결과 조회 / 히스토리","UI/Web","AI-608","내부 링크 복사 기능 구현","AI1","P1","링크 복사 버튼","1","결과 상세 페이지 URL을 쉽게 공유할 수 있도록 링크 복사 기능을 넣는다.","AI-607","",""
"156","1차 MVP 상세","3차","Epic F. 결과 조회 / 히스토리","UI/Web","AI-608-01","내부 링크 복사 버튼 구현","AI1","P1","링크 복사 기능","1","현재 상세 페이지 URL을 클립보드에 복사하는 버튼을 구현한다.","AI-608;AI-607-01","",""
"157","1차 MVP","2차","Epic J. 인증 / 운영","BE/Auth","AI-701","앱 로그인 최소 구현","AI1","P0","로그인 API / 세션 처리","2","내부 사용자를 구분하고 생성자 필터에 쓸 수 있도록 간단 로그인 기능을 구현한다.","AI-501","",""
"158","1차 MVP 상세","2차","Epic G. 인증 / 운영","BE/Auth","AI-701-01","앱 로그인 방식 확정","AI1","P0","로그인 방식 메모","1","간단 ID/PW, 게스트 로그인, 사내 계정 화이트리스트 중 MVP에 맞는 방식을 하나로 결정한다.","AI-701;AI-101","",""
"159","1차 MVP 상세","2차","Epic G. 인증 / 운영","BE/Auth","AI-701-02","로그인 API와 세션 또는 토큰 처리 구현","AI1","P0","로그인 API","2","선정한 로그인 방식에 맞게 로그인 API와 세션 또는 토큰 처리 로직을 구현한다.","AI-701-01;AI-501-01","",""
"160","1차 MVP 상세","2차","Epic G. 인증 / 운영","BE/Auth","AI-701-03","결과 조회 화면 보호 적용","AI1","P0","보호 라우트","1","로그인하지 않은 사용자가 내부 결과 조회 페이지에 접근하지 못하게 보호를 적용한다.","AI-701-02;AI-606-02","",""
"161","1차 MVP 상세","2차","Epic G. 인증 / 운영","BE/Auth","AI-701-04","초기 로그인 대상 사용자 seed 또는 whitelist 정리","AI1","P1","초기 사용자 기준","1","누가 첫 로그인 대상인지와 초기 계정 또는 화이트리스트 기준을 정한다.","AI-701-03","",""
"162","1차 MVP","3차","Epic J. 인증 / 운영","Ops/Log","AI-702","실패 로그 조회 API 또는 최소 화면 구현","AI1","P1","실패 로그 조회 기능","2","최근 generate와 upload 실패를 빠르게 볼 수 있는 최소 조회 기능을 구현한다.","AI-504;AI-406","",""
"163","1차 MVP 상세","3차","Epic G. 인증 / 운영","Ops/Log","AI-702-01","실패 로그 목록 API 구현","AI1","P1","실패 로그 API","1","generate와 upload 실패를 최근순으로 볼 수 있는 최소 API를 만든다.","AI-702;AI-504-02;AI-406-04","",""
"164","1차 MVP 상세","3차","Epic G. 인증 / 운영","Ops/Log","AI-702-02","실패 로그 최소 화면 구현","AI1","P1","실패 로그 화면","1","최근 실패 내역과 에러 메시지를 빠르게 보는 최소 화면을 만든다.","AI-702-01","",""
"165","1차 MVP 상세","3차","Epic G. 인증 / 운영","Ops/Log","AI-702-03","audit log 조회 기본 필터와 기간 기준 정리","AI1","P1","로그 조회 기준","1","최근 24시간, 최근 7일 등 기본 조회 기간과 action_type 필터 기준을 정한다.","AI-702-02","",""
"166","1차 MVP","3차","Epic J. 인증 / 운영","Ops/Resource","AI-703","공용 모델·LoRA·프리셋 관리 기준 정리","AI1","P1","리소스 운영 문서","1","어떤 모델을 공용으로 두고 어떤 경로에 놓을지와 프리셋 이름 규칙을 정리한다.","AI-010;AI-201","",""
"167","1차 MVP 상세","3차","Epic G. 인증 / 운영","Ops/Resource","AI-703-01","공용 모델 목록과 경로 표 정리","AI1","P1","모델 운영 표","1","어떤 모델을 공용으로 둘지와 실제 경로를 표로 정리한다.","AI-703;AI-201-03","",""
"168","1차 MVP 상세","3차","Epic G. 인증 / 운영","Ops/Resource","AI-703-02","프리셋·워크플로·LoRA 이름 규칙 정리","AI1","P1","이름 규칙 문서","1","workflow 이름, preset 이름, LoRA 이름을 어떤 규칙으로 붙일지 정리한다.","AI-703-01","",""
"169","1차 MVP 상세","3차","Epic G. 인증 / 운영","Ops/Resource","AI-703-03","기준 workflow와 preset 버전명 규칙 정리","AI1","P1","버전명 규칙 문서","1","workflow, preset, baseline 결과에 버전명을 어떻게 붙일지 규칙을 만든다.","AI-703-02","",""
"170","1차 MVP","3차","Epic J. 인증 / 운영","Ops/AssetPolicy","AI-704","Git 업로드 제외 및 경로 운영 규칙 최종화","AI1","P1","에셋 관리 규칙 문서","1","모델 파일과 LoRA 가중치를 Git에 올리지 않고 경로와 이름만 문서로 관리하는 규칙을 확정한다.","AI-703","",""
"171","1차 MVP 상세","3차","Epic G. 인증 / 운영","Ops/AssetPolicy","AI-704-01",".gitignore와 에셋 제외 정책 문서화","AI1","P1","Git 제외 규칙 문서","1","모델, LoRA, 결과 이미지가 Git에 올라가지 않도록 제외 정책을 문서화한다.","AI-704","",""
"172","1차 MVP 상세","3차","Epic G. 인증 / 운영","Ops/AssetPolicy","AI-704-02","모델 반입 절차와 폴더 배치 절차 정리","AI1","P1","반입 절차 문서","1","새 모델이나 LoRA를 추가할 때 누가 어느 폴더에 어떻게 넣는지 절차를 적는다.","AI-704-01","",""
"173","1차 MVP 상세","3차","Epic G. 인증 / 운영","Ops/AssetPolicy","AI-704-03","결과 이미지 보존 기간과 용량 정리 규칙 작성","AI1","P1","보존 정책 문서","1","output, temp, S3 결과 이미지의 보존 기간과 정리 기준을 정한다.","AI-704-02;AI-402","",""
"174","1차 MVP","1차","Epic K. 통합 검증 / 데모","QA/E2E","AI-801","생성→S3 업로드→DB 기록→목록→상세→다운로드 통합 검증","AI1","P0","통합 검증 기록","2","핵심 MVP 흐름이 실제로 한 번 끝까지 도는지 점검하고 결과를 기록한다.","AI-206;AI-406;AI-508;AI-607;AI-701","",""
"175","1차 MVP 상세","1차","Epic H. 통합 검증 / 데모","QA/E2E","AI-801-01","end-to-end 통합 검증 시나리오 작성","AI1","P0","통합 시나리오 문서","1","로그인, 생성, 업로드, 목록, 상세, 다운로드까지 한 번에 검증하는 시나리오를 작성한다.","AI-801","",""
"176","1차 MVP 상세","1차","Epic H. 통합 검증 / 데모","QA/E2E","AI-801-02","테스트용 계정·워크플로·버킷 준비","AI1","P0","테스트 준비물","1","통합 테스트에 필요한 계정과 workflow와 S3 버킷 상태를 미리 준비한다.","AI-801-01;AI-701-02;AI-202-03","",""
"177","1차 MVP 상세","1차","Epic H. 통합 검증 / 데모","QA/E2E","AI-801-03","통합 검증 실행 후 결과 기록","AI1","P0","검증 기록","1","실제 시나리오를 돌리고 어느 단계에서 성공 또는 실패했는지 기록한다.","AI-801-02;AI-607-02","",""
"178","1차 MVP","2차","Epic K. 통합 검증 / 데모","QA/Failure","AI-802","의도적 실패 케이스와 audit log 검증","AI1","P1","실패 케이스 검증 기록","1","잘못된 workflow나 업로드 실패 같은 케이스를 일부러 발생시켜 로그와 상태가 남는지 확인한다.","AI-702;AI-801","",""
"179","1차 MVP 상세","2차","Epic H. 통합 검증 / 데모","QA/Failure","AI-802-01","의도적 실패 prompt 테스트","AI1","P1","실패 테스트 결과","1","일부러 실패하는 workflow나 모델 누락 케이스를 실행해 failed 처리와 로그를 확인한다.","AI-802;AI-304-01","",""
"180","1차 MVP 상세","2차","Epic H. 통합 검증 / 데모","QA/Failure","AI-802-02","업로드 실패 테스트","AI1","P1","업로드 실패 결과","1","S3 자격증명 오류나 네트워크 오류 상황에서 upload 실패 처리가 되는지 확인한다.","AI-802-01;AI-507-03","",""
"181","1차 MVP 상세","2차","Epic H. 통합 검증 / 데모","QA/Failure","AI-802-03","audit log와 상태값 일치 여부 검증","AI1","P1","로그 검증 기록","1","실패 화면, generations.status, audit_logs가 서로 일치하는지 확인한다.","AI-802-02;AI-702-01","",""
"182","1차 MVP","3차","Epic K. 통합 검증 / 데모","Docs/Handoff","AI-803","데모 체크리스트 및 handoff 문서 갱신","AI1","P1","데모 체크리스트 / handoff","1","무엇이 완료됐고 무엇이 남았는지 다음 작업자가 바로 이어받을 수 있게 문서를 갱신한다.","AI-801;AI-802","",""
"183","1차 MVP 상세","3차","Epic H. 통합 검증 / 데모","Docs/Handoff","AI-803-01","handoff 문서에 현재 상태 반영","AI1","P1","handoff 문서","1","완료 항목, 미완료 항목, 다음 우선순위를 handoff 문서에 반영한다.","AI-803;AI-801-03","",""
"184","1차 MVP 상세","3차","Epic H. 통합 검증 / 데모","Docs/Handoff","AI-803-02","데모 전 체크리스트 최신화","AI1","P1","데모 체크리스트","1","발표 전 확인해야 할 접속, 로그인, 생성, 조회, 다운로드 항목을 체크리스트로 정리한다.","AI-803-01","",""
"185","1차 MVP 상세","3차","Epic H. 통합 검증 / 데모","QA/E2E","AI-803-03","데모 리허설용 smoke checklist 작성","AI1","P0","smoke checklist","1","도메인 접속, Basic Auth, 로그인, 생성, 조회, 다운로드를 빠르게 점검하는 체크리스트를 만든다.","AI-801-03","",""
"186","1차 MVP 상세","3차","Epic H. 통합 검증 / 데모","QA/Failure","AI-803-04","장애 시 복구 순서(runbook) 문서화","AI1","P1","복구 runbook","1","ComfyUI 미기동, 인증서 문제, S3 업로드 실패 같은 장애가 났을 때 순서대로 확인할 절차를 적는다.","AI-802-03","",""
"187","1차 MVP 상세","3차","Epic H. 통합 검증 / 데모","Docs/Handoff","AI-803-05","CSV 상태 업데이트와 문서 종료 순서 정리","AI1","P1","종료 절차 메모","1","세션 종료 전에 CSV 상태, current-state, handoff, daily log를 어떤 순서로 갱신할지 정리한다.","AI-803-02","",""
"188","1차 MVP 상세","3차","Epic H. 통합 검증 / 데모","QA/E2E","AI-803-06","데모용 샘플 계정·프롬프트·결과물 고정","AI1","P0","데모 기준 세트","1","발표 직전 흔들리지 않도록 데모에서 쓸 계정, 프롬프트, 기준 결과물을 별도로 고정한다.","AI-803-03","",""
